Map size: 450, 300

# min_x, min_y, max_x, max_y


building_dict Total Count : 55
-------------------------
tree(175) : (226.35, 57.85, 226.65, 58.15)
tree(176) : (226.35, 60.85, 226.65, 61.15)
tree(177) : (226.35, 63.85, 226.65, 64.15)
tree(178) : (226.35, 66.85, 226.65, 67.15)
tree(179) : (226.35, 69.85, 226.65, 70.15)
tree(180) : (226.35, 72.85, 226.65, 73.15)
tree(181) : (226.35, 75.85, 226.65, 76.15)
tree(182) : (226.35, 78.85, 226.65, 79.15)
tree(183) : (226.35, 81.85, 226.65, 82.15)
tree(184) : (226.35, 84.85, 226.65, 85.15)
tree(185) : (226.35, 87.85, 226.65, 88.15)
tree(186) : (233.7, -106.3, 234.3, -105.7)
tree(187) : (233.7, -114.3, 234.3, -113.7)
tree(188) : (229.7, -131.3, 230.3, -130.7)
tree(189) : (232.7, -137.3, 233.3, -136.7)
tree(190) : (232.7, -147.3, 233.3, -146.7)
tree(191) : (232.7, -157.3, 233.3, -156.7)
tree(192) : (232.7, -167.3, 233.3, -166.7)
tree(193) : (232.7, -177.3, 233.3, -176.7)
tree(194) : (232.7, -187.3, 233.3, -186.7)
tree(195) : (226.85, -62.15, 227.15, -61.85)
tree(196) : (226.85, -57.15, 227.15, -56.85)
tree(197) : (226.85, -52.15, 227.15, -51.85)
tree(198) : (226.85, -47.15, 227.15, -46.85)
tree(199) : (226.85, -35.15, 227.15, -34.85)
tree(200) : (226.85, -30.15, 227.15, -29.85)
tree(201) : (226.85, -25.15, 227.15, -24.85)
tree(202) : (226.85, -20.15, 227.15, -19.85)
tree(203) : (239.85, -18.15, 240.15, -17.85)
tree(204) : (249.85, -18.15, 250.15, -17.85)
tree(205) : (259.85, -18.15, 260.15, -17.85)
tree(206) : (269.85, -18.15, 270.15, -17.85)
tree(207) : (279.85, -18.15, 280.15, -17.85)
tree(208) : (289.85, -18.15, 290.15, -17.85)
tree(209) : (299.85, -18.15, 300.15, -17.85)
tree(210) : (309.85, -18.15, 310.15, -17.85)
tree(211) : (319.85, -18.15, 320.15, -17.85)
tree(212) : (329.85, -18.15, 330.15, -17.85)
tree(213) : (339.85, -18.15, 340.15, -17.85)
tree(214) : (349.85, -18.15, 350.15, -17.85)
tree(215) : (359.85, -18.15, 360.15, -17.85)
tree(216) : (369.85, -18.15, 370.15, -17.85)
tree(217) : (379.85, -18.15, 380.15, -17.85)
tree(218) : (389.85, -18.15, 390.15, -17.85)
tree(219) : (239.85, 7.85, 240.15, 8.15)
tree(220) : (249.85, 7.85, 250.15, 8.15)
tree(221) : (259.85, 7.85, 260.15, 8.15)
tree(222) : (269.85, 7.85, 270.15, 8.15)
tree(223) : (279.85, 7.85, 280.15, 8.15)
tree(224) : (289.85, 7.85, 290.15, 8.15)
tree(225) : (299.85, 7.85, 300.15, 8.15)
tree(226) : (309.85, 7.85, 310.15, 8.15)
tree(227) : (319.85, 7.85, 320.15, 8.15)
tree(228) : (329.85, 7.85, 330.15, 8.15)
tree(229) : (339.85, 7.85, 340.15, 8.15)
tree(230) : (349.85, 7.85, 350.15, 8.15)
tree(231) : (359.85, 7.85, 360.15, 8.15)
tree(232) : (369.85, 7.85, 370.15, 8.15)
tree(233) : (379.85, 7.85, 380.15, 8.15)
tree(234) : (389.85, 7.85, 390.15, 8.15)


human_dict Total Count : 123
-------------------------
human_ROBERT(1) : (12.032293357778501, 8.82676620985374, 12.632293357778503, 9.426766209853742)
human_ROBERT(2) : (51.849011180053644, 50.23227600052667, 52.44901118005364, 50.83227600052666)
human_ROBERT(3) : (53.54760277720829, 8.505463358931559, 54.147602777208284, 9.10546335893156)
human_ROBERT(4) : (108.16218395076916, 8.175686803088679, 108.76218395076916, 8.77568680308868)
human_ROBERT(5) : (122.41298956682851, 45.9878781903875, 123.01298956682851, 46.58787819038749)
human_ROBERT(6) : (187.8050227266488, 8.699012183026621, 188.4050227266488, 9.299012183026623)
human_ROBERT(7) : (229.01907579469818, 10.145347614489117, 229.6190757946982, 10.745347614489118)
human_ROBERT(8) : (196.63605740197215, 48.744475000954296, 197.23605740197218, 49.34447500095429)
human_ROBERT(9) : (3.4593252163208397, -63.65769502470703, 4.05932521632084, -63.05769502470704)
human_ROBERT(10) : (123.33100986864831, -26.42052939565499, 123.9310098686483, -25.82052939565499)
human_ROBERT(11) : (192.19349052593734, -60.294710093413656, 192.79349052593736, -59.69471009341366)
human_ROBERT(12) : (228.27860366548637, -24.227939417752832, 228.8786036654864, -23.62793941775283)
human_ROBERT(13) : (227.9641008608161, -60.39762814321879, 228.56410086081613, -59.797628143218795)
human_ROBERT(14) : (229.07900857129093, -104.27575999879043, 229.67900857129095, -103.67575999879044)
human_ROBERT(15) : (185.79283347953205, -77.54548945796654, 186.39283347953207, -76.94548945796654)
human_ROBERT(16) : (136.09601898087405, -55.778706902716074, 136.69601898087407, -55.17870690271608)
human_ROBERT(17) : (14.428322236943242, -146.27325541893586, 15.028322236943243, -145.67325541893584)
human_ROBERT(18) : (189.84544086694606, -125.87013253574753, 190.4454408669461, -125.27013253574754)
human_ROBERT(19) : (-30.558204566541153, -23.29418191953482, -29.958204566541152, -22.69418191953482)
human_ROBERT(20) : (-31.407156173082075, 16.946010246907694, -30.807156173082074, 17.546010246907695)
human_ROBERT(21) : (41.9641, 18.2105, 42.564099999999996, 18.8105)
human_ROBERT(22) : (16.7315, 7.731700000000001, 17.331500000000002, 8.331700000000001)
human_ROBERT(23) : (56.2261, 36.8962, 56.8261, 37.496199999999995)
human_ROBERT(24) : (61.3217, 8.1311, 61.921699999999994, 8.731100000000001)
human_ROBERT(25) : (77.0853, 44.553700000000006, 77.6853, 45.1537)
human_ROBERT(26) : (91.2538, 51.7278, 91.85379999999999, 52.327799999999996)
human_ROBERT(27) : (117.891, 8.937399999999998, 118.491, 9.5374)
human_ROBERT(28) : (100.49000000000001, 23.1689, 101.09, 23.768900000000002)
human_ROBERT(29) : (103.709, 46.4069, 104.309, 47.006899999999995)
human_ROBERT(30) : (115.046, 36.8245, 115.646, 37.424499999999995)
human_ROBERT(31) : (156.51899999999998, 8.4363, 157.119, 9.0363)
human_SANDRA(1) : (39.919900000000005, 8.250319999999999, 40.5199, 8.85032)
human_SANDRA(2) : (91.33726406209291, 18.80030005309642, 91.93726406209291, 19.400300053096423)
human_SANDRA(3) : (91.73310472486399, 51.465608995521215, 92.33310472486399, 52.06560899552121)
human_SANDRA(4) : (110.90000002121971, 45.25461975189949, 111.5000000212197, 45.854619751899484)
human_SANDRA(5) : (122.21354384819203, 7.646819727129209, 122.81354384819203, 8.246819727129209)
human_SANDRA(6) : (131.9933346494203, 64.21154546157013, 132.5933346494203, 64.81154546157012)
human_SANDRA(7) : (191.90999994744598, 11.240800496839984, 192.509999947446, 11.840800496839986)
human_SANDRA(8) : (228.9798656127988, 30.15212078555751, 229.5798656127988, 30.752120785557512)
human_SANDRA(9) : (50.40074945788986, -7.391727187305474, 51.00074945788985, -6.791727187305474)
human_SANDRA(10) : (123.45068060064555, -72.60277533794338, 124.05068060064555, -72.00277533794339)
human_SANDRA(11) : (135.9931384031991, -53.55930003641146, 136.59313840319913, -52.95930003641146)
human_SANDRA(12) : (187.19000003439137, -10.638647809051731, 187.7900000343914, -10.03864780905173)
human_SANDRA(13) : (266.4076155732895, -21.801623933433564, 267.0076155732895, -21.201623933433563)
human_SANDRA(14) : (229.61999995132552, -49.63127423698412, 230.21999995132555, -49.031274236984125)
human_SANDRA(15) : (-0.08757274418806782, -83.0256751418537, 0.5124272558119322, -82.4256751418537)
human_SANDRA(16) : (232.12291233576244, -87.21144711052196, 232.72291233576246, -86.61144711052196)
human_SANDRA(17) : (49.15090008220622, -126.6311811905581, 49.750900082206215, -126.0311811905581)
human_SANDRA(18) : (186.5611613633407, -123.3360218328881, 187.1611613633407, -122.7360218328881)
human_SANDRA(19) : (12.5899, 9.0999, 13.189900000000002, 9.699900000000001)
human_SANDRA(20) : (41.040000000000006, 14.550099999999999, 41.64, 15.1501)
human_SANDRA(21) : (75.53, 9.440299999999999, 76.13, 10.0403)
human_SANDRA(22) : (53.85, 9.2401, 54.449999999999996, 9.840100000000001)
human_SANDRA(23) : (84.2598, 47.130100000000006, 84.85979999999999, 47.7301)
human_SANDRA(24) : (62.9898, 45.830400000000004, 63.5898, 46.4304)
human_SANDRA(25) : (121.73, 8.680399999999999, 122.33, 9.2804)
human_SANDRA(26) : (111.84, 37.370200000000004, 112.44, 37.9702)
human_SANDRA(27) : (125.10000000000001, 68.6798, 125.7, 69.2798)
human_SANDRA(28) : (100.18, 45.3598, 100.78, 45.959799999999994)
human_SANDRA(29) : (176.19, 45.7106, 176.79000000000002, 46.310599999999994)
human_SANDRA(30) : (185.38, 45.1409, 185.98000000000002, 45.740899999999996)
human_SANDRA(31) : (259.21, 12.6214, 259.81, 13.221400000000001)
human_SOPHIA(1) : (41.136500000000005, 7.45155, 41.7365, 8.05155)
human_SOPHIA(2) : (53.40108501901628, 46.72129998428364, 54.00108501901627, 47.321299984283634)
human_SOPHIA(3) : (73.04700001005496, 7.221665400371354, 73.64700001005495, 7.821665400371353)
human_SOPHIA(4) : (100.5033870054187, 45.042000054197935, 101.1033870054187, 45.64200005419793)
human_SOPHIA(5) : (135.18499988257958, 54.97547194817499, 135.7849998825796, 55.575471948174986)
human_SOPHIA(6) : (109.12600001205624, 37.56942190772652, 109.72600001205623, 38.169421907726516)
human_SOPHIA(7) : (155.4499810021891, 8.122409242569091, 156.04998100218913, 8.722409242569093)
human_SOPHIA(8) : (250.6870041692383, 9.782999938045362, 251.28700416923832, 10.382999938045364)
human_SOPHIA(9) : (125.04838812060234, -9.288694015821676, 125.64838812060233, -8.688694015821675)
human_SOPHIA(10) : (98.41649994732964, -9.568374648638725, 99.01649994732963, -8.968374648638724)
human_SOPHIA(11) : (136.76599999648957, -59.655257508759306, 137.3659999964896, -59.05525750875931)
human_SOPHIA(12) : (163.07841674829362, -10.457699982246062, 163.67841674829364, -9.85769998224606)
human_SOPHIA(13) : (232.36734987943544, -23.19538757336756, 232.96734987943546, -22.59538757336756)
human_SOPHIA(14) : (230.85700416966583, -44.567700024365, 231.45700416966585, -43.96770002436501)
human_SOPHIA(15) : (81.02936950930655, -88.73240317216097, 81.62936950930654, -88.13240317216098)
human_SOPHIA(16) : (231.41699991913399, -125.27783113650418, 232.016999919134, -124.67783113650418)
human_SOPHIA(17) : (143.2646060789557, -166.17448723715628, 143.86460607895572, -165.57448723715626)
human_SOPHIA(18) : (-28.780283938756217, -128.83900003927818, -28.180283938756215, -128.23900003927815)
human_SOPHIA(19) : (-30.18233113647689, 46.37120001141054, -29.58233113647689, 46.97120001141053)
human_SOPHIA(20) : (41.8265, 10.4513, 42.4265, 11.051300000000001)
human_SOPHIA(21) : (25.5065, 7.771199999999999, 26.1065, 8.3712)
human_SOPHIA(22) : (90.476, 31.4213, 91.076, 32.0213)
human_SOPHIA(23) : (64.26650000000001, 8.2113, 64.8665, 8.811300000000001)
human_SOPHIA(24) : (51.676500000000004, 54.991200000000006, 52.2765, 55.5912)
human_SOPHIA(25) : (91.65650000000001, 64.4812, 92.2565, 65.0812)
human_SOPHIA(26) : (100.366, 31.4213, 100.966, 32.0213)
human_SOPHIA(27) : (115.866, 8.6314, 116.466, 9.2314)
human_SOPHIA(28) : (121.236, 44.571400000000004, 121.836, 45.1714)
human_SOPHIA(29) : (106.536, 44.551300000000005, 107.136, 45.1513)
human_SOPHIA(30) : (192.576, 51.3615, 193.17600000000002, 51.961499999999994)
human_ANTHONY(1) : (23.87, 7.65002, 24.27, 8.05002)
human_ANTHONY(2) : (73.13069973369119, 8.049809998142626, 73.5306997336912, 8.449809998142625)
human_ANTHONY(3) : (100.30000000059019, 7.430458826777866, 100.7000000005902, 7.830458826777867)
human_ANTHONY(4) : (136.09999999635056, 9.148592357658353, 136.49999999635054, 9.548592357658352)
human_ANTHONY(5) : (61.32985027496004, 45.53168467056155, 61.72985027496004, 45.93168467056156)
human_ANTHONY(6) : (126.10287520284632, 47.18949217665812, 126.50287520284633, 47.589492176658126)
human_ANTHONY(7) : (164.3008923012375, 45.71999520326298, 164.70089230123747, 46.11999520326299)
human_ANTHONY(8) : (231.29000000221342, 24.14921706668531, 231.6900000022134, 24.54921706668531)
human_ANTHONY(9) : (4.19486714035454, -60.1609011814749, 4.59486714035454, -59.76090118147489)
human_ANTHONY(10) : (62.68923863143184, -60.830099998244826, 63.08923863143185, -60.43009999824482)
human_ANTHONY(11) : (135.4728334425846, -8.020838716493511, 135.87283344258458, -7.620838716493511)
human_ANTHONY(12) : (160.61523331759915, -60.55593805241178, 161.01523331759913, -60.15593805241178)
human_ANTHONY(13) : (231.04000000064235, -28.62043002516673, 231.44000000064233, -28.22043002516673)
human_ANTHONY(14) : (242.53429787446012, -62.58165532540379, 242.9342978744601, -62.18165532540378)
human_ANTHONY(15) : (192.9607718851236, -73.60882099060352, 193.36077188512357, -73.20882099060351)
human_ANTHONY(16) : (169.058890800971, -136.458088559017, 169.45889080097098, -136.05808855901702)
human_ANTHONY(17) : (7.032179719786456, -133.57916955653226, 7.432179719786457, -133.1791695565323)
human_ANTHONY(18) : (-50.18167065972002, -12.199042455597894, -49.781670659720014, -11.799042455597895)
human_ANTHONY(19) : (-57.98821821074255, 8.346836563408687, -57.588218210742546, 8.746836563408685)
human_ANTHONY(20) : (43.66, 28.38, 44.06, 28.779999999999998)
human_ANTHONY(21) : (1.01996, 11.430100000000001, 1.4199599999999999, 11.8301)
human_ANTHONY(22) : (51.75, 16.7401, 52.150000000000006, 17.1401)
human_ANTHONY(23) : (91.57, 10.190100000000001, 91.97, 10.5901)
human_ANTHONY(24) : (80.59, 45.1598, 80.99000000000001, 45.5598)
human_ANTHONY(25) : (89.99, 57.47, 90.39, 57.870000000000005)
human_ANTHONY(26) : (98.92999999999999, 54.4, 99.33, 54.800000000000004)
human_ANTHONY(27) : (101.35, 44.47, 101.75, 44.870000000000005)
human_ANTHONY(28) : (122.84, 28.38, 123.24000000000001, 28.779999999999998)
human_ANTHONY(29) : (100.50999999999999, 28.38, 100.91, 28.779999999999998)
human_ANTHONY(30) : (134.74, 28.3799, 135.14, 28.779899999999998)
human_ANTHONY(31) : (192.61, 18.079800000000002, 193.01, 18.4798)
